55.	Hubbard, Chuba CAR RB	70.10	6.373	0.30 	-2.00 	3.50 	0.00 	0.00 	1.70 	20.80 	  	  	1.90 	4.50 	13.00 	B 	26.40 	@ATL	Oparysh	13
56.	Dobbins, J.K. BAL RB	68.20	13.640	  	  	5.50 	23.80 	6.90 	1.50 	  	  	  	B 	  	  	  	30.50 	HOU	illmatic27 (Q)	10
57.	Gainwell, Kenneth PHI RB	67.80	5.215	11.70 	2.80 	0.60 	8.70 	2.50 	3.00 	B 	2.10 	12.80 	1.70 	0.00 	12.60 	8.80 	0.50 	@NEP	БЕСЫ	7
58.	Huntley, Caleb ATL RB	67.70	6.155	  	0.30 	  	19.10 	4.40 	12.40 	2.70 	15.60 	3.90 	4.20 	1.10 	2.30 	1.70 	B 	CAR	FA (Q)	14
59.	Mattison, Alexander MIN RB	63.60	4.892	4.60 	3.40 	11.90 	8.80 	7.50 	0.30 	B 	11.50 	0.60 	2.90 	1.30 	1.60 	9.30 	-0.10 	TBB	GKC	7
60.	Knight, Zonovan NYJ RB	63.30	21.100	  	  	  	  	  	  	  	  	  	B 	  	19.80 	20.80 	22.70 	BUF	БЕСЫ (Q)	10
61.	Warren, Jaylen PIT RB	62.30	5.192	0.70 	2.50 	4.80 	3.20 	10.30 	0.70 	3.90 	15.50 	B 	11.20 	1.90 	  	3.40 	4.20 	SFO	Gonsales Monsters	9
62.	Jackson, Deon IND RB	59.00	4.917	0.00 	-0.30 	0.00 	0.00 	18.10 	31.60 	0.80 	-0.40 	5.60 	  	3.00 	0.00 	0.60 	B 	JAC	БЕСЫ	14
63.	Hines, Nyheim BUF RB	55.80	4.292	14.90 	6.20 	6.50 	1.30 	1.30 	  	7.80 	12.90 	0.00 	1.40 	-0.80 	0.30 	2.80 	1.20 	@NYJ	MH	7
64.	Williams, Javonte DEN RB	55.50	13.875	22.30 	16.00 	13.00 	4.20 	  	  	  	  	B 	  	  	  	  	  	LVR	Snusmumrik's Minions (Q)	9
65.	Ingram, Mark NOS RB	54.10	5.410	1.80 	11.60 	8.30 	6.30 	3.60 	8.20 	4.70 	0.70 	  	  	  	1.50 	7.40 	B 	BYE	FA (Q)	14
66.	Hasty, JaMycal JAC RB	53.80	4.138	0.00 	0.00 	0.00 	3.70 	0.60 	17.20 	1.10 	2.50 	1.60 	0.80 	B 	25.00 	0.00 	1.30 	@IND	Oparysh	11
67.	McKissic, J.D. WAS RB	53.30	6.663	7.30 	16.80 	8.50 	8.10 	6.20 	2.50 	0.40 	3.50 	  	  	  	  	  	B 	BYE	FA (Q)	14
68.	Edmonds, Chase DEN RB	51.60	5.160	10.00 	5.60 	16.20 	9.50 	0.10 	4.10 	2.20 	1.90 	  	1.40 	0.60 	  	  	  	@MIN	Lesorub Magadan	9
69.	Jackson, Justin DET RB	51.30	3.946	0.00 	0.00 	0.00 	8.20 	1.90 	B 	0.20 	0.00 	3.20 	4.80 	14.70 	3.40 	4.30 	10.60 	BYE	FA	6
70.	Burkhead, Rex HOU RB	50.90	4.242	10.50 	1.90 	5.00 	13.90 	4.30 	B 	4.90 	0.70 	3.00 	5.00 	0.00 	1.00 	  	0.70 	BYE	FA	6
71.	Juszczyk, Kyle SFO RB	45.30	3.775	0.00 	6.60 	3.40 	5.90 	4.20 	6.80 	5.40 	  	B 	0.00 	0.90 	1.20 	9.20 	1.70 	@PIT	ansuperman	9
72.	Kelley, Joshua LAC RB	42.00	4.667	6.00 	3.00 	1.30 	2.00 	17.70 	0.00 	  	B 	  	  	  	3.50 	4.00 	4.50 	MIA	NDAK	8
73.	Mitchell, Elijah SFO RB	40.10	10.025	5.10 	  	  	  	  	  	  	  	B 	17.30 	11.90 	5.80 	  	  	@PIT	Gonsales Monsters	9
74.	Hill, Justice BAL RB	39.90	3.627	2.10 	2.10 	12.00 	8.70 	  	  	0.60 	3.30 	2.40 	B 	6.80 	0.30 	1.60 	0.00 	HOU	FA	10
75.	Breida, Matt NYG RB	39.00	3.000	2.90 	-0.40 	0.80 	2.30 	4.70 	2.60 	4.80 	2.00 	B 	2.50 	10.90 	2.50 	0.90 	2.50 	DAL	KWar	9
76.	Abdullah, Ameer LVR RB	38.00	2.923	0.00 	3.30 	0.00 	0.00 	0.00 	B 	1.70 	4.80 	1.30 	6.30 	2.00 	14.50 	0.90 	3.20 	@DEN	Lesorub Magadan	6
77.	Homer, Travis SEA RB	37.10	4.638	0.20 	8.20 	0.70 	  	  	  	  	4.10 	5.20 	0.00 	B 	13.80 	  	4.90 	GBP	Lesorub Magadan	11
78.	Reynolds, Craig DET RB	35.80	4.475	0.00 	4.40 	2.30 	5.70 	17.70 	B 	5.00 	0.70 	0.00 	  	  	  	  	  	@KCC	FA	6
79.	Scott, Boston PHI RB	35.70	3.245	7.50 	3.10 	0.00 	  	  	2.10 	B 	2.60 	0.50 	0.50 	2.20 	2.90 	2.60 	11.70 	@NEP	Gonsales Monsters	7
80.	Blackshear, Raheem CAR RB	33.50	3.722	  	  	  	  	0.00 	0.00 	-0.50 	0.10 	14.80 	4.20 	2.40 	-0.40 	B 	12.90 	@ATL	FA	13
81.	Ingold, Alec MIA RB	33.40	2.569	2.00 	3.60 	0.00 	0.00 	0.00 	2.70 	0.00 	7.60 	0.00 	14.00 	B 	0.50 	3.00 	0.00 	@LAC	FA	11
82.	Ogunbowale, Dare HOU RB	33.20	2.554	0.00 	0.00 	0.00 	0.00 	0.00 	B 	15.20 	0.50 	0.00 	2.30 	1.00 	9.50 	3.60 	1.10 	@BAL	Lesorub Magadan	6
83.	Johnson, Ty NYJ RB	32.90	2.531	0.00 	0.90 	0.00 	0.00 	0.00 	0.00 	1.40 	0.60 	1.70 	B 	0.40 	20.80 	7.10 	0.00 	BYE	FA (Q)	10
84.	Mason, Jordan SFO RB	29.30	2.442	0.00 	0.00 	0.70 	0.00 	0.00 	0.00 	  	0.00 	B 	0.00 	1.90 	3.50 	11.10 	12.10 	@PIT	illmatic27	9
85.	Boone, Mike DEN RB	28.30	3.144	0.70 	0.00 	0.00 	3.90 	11.50 	0.90 	2.80 	  	B 	  	  	  	4.10 	4.40 	@BAL	Gonsales Monsters	9
86.	Williams, Darrel ARI RB	28.10	4.683	0.00 	20.20 	0.70 	2.40 	1.40 	  	  	3.40 	  	  	  	  	B 	  	BYE	FA (Q)	13
87.	Williams, Kyren LAR RB	27.10	4.517	0.00 	  	  	  	  	  	B 	  	  	6.90 	6.40 	8.50 	1.40 	3.90 	@SEA	FC	7
88.	Snell, Benny PIT RB	26.20	2.015	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	B 	0.00 	0.00 	20.30 	5.50 	0.40 	BYE	FA	9
89.	Davis, Malik DAL RB	25.80	3.225	  	  	  	  	  	0.00 	0.00 	6.10 	B 	4.80 	5.50 	0.00 	9.40 	0.00 	@NYG	Lesorub Magadan	9
90.	Michel, Sony FA RB	24.90	2.490	1.70 	2.40 	4.10 	5.20 	0.00 	7.20 	1.80 	B 	1.70 	0.20 	0.60 	  	  	  	@SEA	GKC	-
91.	Strong Jr., Pierre NEP RB	23.50	2.136	  	0.00 	0.00 	0.00 	  	0.50 	0.00 	0.00 	0.00 	B 	0.00 	0.00 	0.00 	23.00 	PHI	MH	10
92.	Brightwell, Gary NYG RB	23.40	1.800	0.00 	1.90 	0.00 	0.00 	7.00 	0.00 	0.00 	0.00 	B 	0.00 	0.00 	7.90 	0.00 	6.60 	DAL	KWar	9
93.	Mack, Marlon DEN RB	23.30	4.660	  	  	0.00 	0.00 	  	  	  	  	B 	  	  	1.70 	1.40 	20.20 	BYE	FA (Q)	9
94.	Coleman, Tevin FA RB	22.50	5.625	  	  	  	  	22.20 	0.30 	0.00 	  	B 	  	  	  	  	0.00 	BYE	FA	-
95.	Williams, Avery ATL RB	22.30	1.715	2.00 	1.10 	1.40 	2.60 	9.60 	1.30 	0.40 	2.20 	0.70 	3.00 	-2.00 	0.00 	0.00 	B 	CAR	FA (I)	14
96.	Bolden, Brandon LVR RB	21.10	1.758	10.30 	  	3.60 	0.40 	5.40 	B 	0.00 	0.00 	0.50 	0.00 	0.90 	0.00 	0.00 	0.00 	@DEN	FA	6
97.	Moss, Zack IND RB	18.90	2.100	5.10 	2.20 	6.70 	0.60 	0.70 	  	B 	  	  	0.40 	0.70 	0.20 	2.30 	B 	JAC	FC	14
98.	Horvath, Zander LAC RB	18.10	1.392	8.80 	7.10 	0.00 	0.00 	0.30 	0.50 	0.00 	B 	0.00 	0.60 	0.80 	0.00 	0.00 	0.00 	MIA	FA	8
99.	Dallas, DeeJay SEA RB	17.60	1.467	0.00 	-4.00 	5.80 	0.00 	1.50 	0.60 	6.10 	0.00 	0.40 	0.00 	B 	3.00 	4.20 	  	LAR	FA	11
100.	Ricard, Patrick BAL RB	17.50	1.346	1.20 	1.00 	1.70 	4.00 	0.00 	0.00 	3.50 	0.00 	1.60 	B 	0.90 	2.40 	0.50 	0.70 	HOU	FA (Q)	10
101.	Gilliam, Reggie BUF RB	16.70	1.392	0.00 	9.20 	3.70 	0.00 	0.00 	3.80 	B 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	  	@NYJ	FA	7
102.	Ingram, Keaontay ARI RB	16.60	2.075	  	  	  	  	  	0.70 	12.20 	0.00 	0.20 	0.50 	2.40 	0.50 	B 	0.10 	@WAS	БЕСЫ	13
103.	Beck, Andrew DEN TE	15.80	1.756	14.20 	-0.10 	0.00 	0.00 	0.00 	1.70 	0.00 	0.00 	B 	  	  	0.00 	  	  	@BAL	FA	9
104.	Watt, Derek PIT RB	14.10	1.085	0.00 	0.70 	0.00 	0.00 	0.60 	0.00 	0.00 	8.10 	B 	1.50 	0.00 	1.50 	1.70 	0.00 	BYE	FA	9
105.	Ham, C.J. MIN RB	13.60	1.046	1.60 	0.00 	3.00 	0.00 	0.00 	0.80 	B 	0.00 	0.00 	6.80 	0.00 	0.00 	0.00 	1.40 	TBB	FA	7
106.	Evans, Chris CIN RB	12.30	1.118	0.00 	0.00 	0.90 	0.00 	0.00 	0.00 	0.00 	3.60 	0.00 	B 	  	0.00 	7.80 	  	@CLE	ansuperman	10
107.	Lindsay, Phillip FA RB	12.30	4.100	  	  	  	  	7.40 	4.70 	  	  	0.20 	  	  	  	  	B 	BYE	FA	-
108.	Evans, Darrynton CHI RB	11.30	2.825	  	  	  	0.00 	  	  	  	  	  	  	0.00 	8.70 	2.60 	B 	BYE	FA	14
109.	Brown, Malcolm LAR RB	10.40	1.733	  	  	  	  	0.00 	3.80 	B 	1.00 	2.90 	  	  	  	0.00 	2.70 	BYE	FA	7
110.	Williams, Jonathan WAS RB	10.20	1.133	0.00 	0.00 	1.10 	5.80 	0.00 	  	  	  	0.00 	  	0.00 	3.20 	0.10 	B 	ARI	FA	14
111.	Harris, Kevin NEP RB	9.50	3.167	  	  	  	  	  	0.50 	  	  	  	B 	  	  	-0.10 	9.10 	PHI	Snusmumrik's Minions	10
112.	Jones, Tony SEA RB	9.40	1.567	0.00 	3.00 	  	  	  	0.00 	0.00 	  	  	  	B 	  	5.70 	0.70 	LVR	FA	11
113.	Montgomery, Ty NEP RB	9.30	9.300	9.30 	  	  	  	  	  	  	  	  	B 	  	  	  	  	PHI	Snusmumrik's Minions	10
114.	Rivers, Ronnie LAR RB	8.50	1.700	  	  	  	  	  	2.40 	B 	6.10 	0.00 	  	  	0.00 	0.00 	  	@SEA	FA	7
115.	Gaskin, Myles MIA RB	8.40	2.800	0.00 	  	  	  	5.30 	  	  	  	  	  	B 	3.10 	  	  	@LAC	FA	11
116.	White, Zamir LVR RB	8.20	0.683	0.00 	0.20 	0.00 	2.90 	-0.70 	B 	0.20 	0.00 	-0.10 	-0.10 	  	3.80 	1.10 	0.90 	@DEN	Gonsales Monsters	6
117.	Williams, Trayveon CIN RB	8.00	1.600	  	  	  	  	  	  	0.00 	  	  	B 	0.70 	5.70 	0.30 	1.30 	@CLE	illmatic27	10
