41.	White, Rachaad TBB RB	157.10	9.819	3.60 	0.10 	0.00 	19.60 	8.20 	4.80 	4.20 	7.30 	5.40 	24.00 	B 	21.40 	14.90 	14.70 	5.80 	14.80 	8.30 	@MIN	Snusmumrik's Minions	11
42.	Hunt, Kareem CLE RB	135.00	8.438	23.50 	15.90 	9.60 	9.80 	15.20 	1.20 	7.80 	10.70 	B 	2.90 	8.90 	3.60 	15.40 	2.70 	3.20 	4.20 	0.40 	BYE	NDAK	9
43.	Carter, Michael NYJ RB	127.00	8.467	21.00 	9.00 	6.10 	3.90 	17.30 	5.70 	9.40 	9.10 	22.60 	B 	2.20 	4.60 	  	1.50 	4.10 	8.50 	2.00 	BUF	illmatic27	10
44.	Dobbins, J.K. BAL RB	122.20	15.275	  	  	5.50 	23.80 	6.90 	1.50 	  	  	  	B 	  	  	  	30.50 	25.80 	11.90 	16.30 	HOU	illmatic27 (Q)	10
45.	Cook, James BUF RB	122.10	8.140	-1.80 	11.80 	6.50 	0.00 	9.60 	0.80 	B 	9.60 	5.30 	2.20 	15.60 	3.30 	20.00 	2.00 	12.90 	24.30 	  	@NYJ	Lesorub Magadan	7
46.	Robinson, James NYJ RB	121.60	11.055	26.40 	22.80 	31.60 	3.40 	6.40 	12.50 	0.00 	1.70 	14.30 	B 	1.00 	  	1.50 	  	  	  	  	BYE	FC (Q)	10
47.	Hubbard, Chuba CAR RB	121.30	8.664	0.30 	-2.00 	3.50 	0.00 	0.00 	1.70 	20.80 	  	  	1.90 	4.50 	13.00 	B 	26.40 	13.70 	24.00 	13.50 	@ATL	Oparysh	13
48.	Drake, Kenyan BAL RB	113.20	10.291	6.10 	0.80 	  	  	3.70 	32.70 	0.50 	21.20 	32.90 	B 	6.80 	0.70 	6.60 	1.20 	  	  	  	BYE	FA	10
49.	Edwards-Helaire, Clyde KCC RB	112.80	11.280	22.90 	20.80 	13.40 	29.90 	7.00 	4.30 	9.70 	B 	3.40 	0.00 	1.40 	  	  	  	  	  	  	DET	Snusmumrik's Minions	8
50.	Harris, Damien NEP RB	103.70	10.370	8.30 	23.20 	13.10 	21.90 	1.70 	  	1.50 	7.70 	  	B 	17.30 	2.10 	  	  	  	  	6.90 	@NYJ	MH	10
51.	Edwards, Gus BAL RB	102.20	12.775	  	  	  	  	  	  	26.10 	13.50 	  	B 	  	17.20 	1.70 	14.10 	12.00 	17.40 	0.20 	HOU	Gonsales Monsters	10
52.	Warren, Jaylen PIT RB	99.00	6.600	0.70 	2.50 	4.80 	3.20 	10.30 	0.70 	3.90 	15.50 	B 	11.20 	1.90 	  	3.40 	4.20 	12.90 	4.50 	19.30 	SFO	Gonsales Monsters	9
53.	Gordon, Melvin KCC RB	97.60	9.760	12.20 	6.30 	16.00 	-1.20 	19.80 	0.80 	7.00 	14.70 	B 	11.00 	11.00 	  	  	  	  	  	  	BYE	FA	8
54.	Benjamin, Eno NOS RB	93.80	6.700	8.60 	7.60 	3.80 	6.00 	14.80 	9.50 	28.80 	8.50 	3.70 	0.00 	  	  	0.00 	0.10 	  	0.00 	2.40 	TEN	FC	14
55.	Penny, Rashaad SEA RB	88.70	17.740	14.20 	1.50 	14.90 	46.70 	11.40 	  	  	  	  	  	B 	  	  	  	  	  	  	@NEP	PGs	11
56.	Gainwell, Kenneth PHI RB	82.70	5.169	11.70 	2.80 	0.60 	8.70 	2.50 	3.00 	B 	2.10 	12.80 	1.70 	0.00 	12.60 	8.80 	0.50 	2.90 	9.30 	2.70 	@NEP	БЕСЫ	7
57.	Hilliard, Dontrell TEN RB	82.70	6.892	26.90 	  	5.40 	3.80 	11.30 	B 	0.40 	17.00 	1.30 	1.30 	8.80 	3.90 	2.60 	0.00 	  	  	  	BYE	FA (Q)	6
58.	Henderson, Darrell FA RB	79.50	7.950	11.30 	12.70 	1.70 	6.40 	5.50 	13.70 	B 	4.00 	11.60 	11.70 	0.90 	  	  	  	  	  	  	BYE	illmatic27	-
59.	Jackson, Deon IND RB	79.00	5.267	0.00 	-0.30 	0.00 	0.00 	18.10 	31.60 	0.80 	-0.40 	5.60 	  	3.00 	0.00 	0.60 	B 	16.60 	2.40 	1.00 	JAC	БЕСЫ	14
60.	Hasty, JaMycal JAC RB	76.50	4.781	0.00 	0.00 	0.00 	3.70 	0.60 	17.20 	1.10 	2.50 	1.60 	0.80 	B 	25.00 	0.00 	1.30 	2.50 	3.60 	16.60 	@IND	Oparysh	11
61.	Knight, Zonovan NYJ RB	74.30	12.383	  	  	  	  	  	  	  	  	  	B 	  	19.80 	20.80 	22.70 	2.30 	2.30 	6.40 	BUF	БЕСЫ (Q)	10
62.	Mattison, Alexander MIN RB	71.40	4.463	4.60 	3.40 	11.90 	8.80 	7.50 	0.30 	B 	11.50 	0.60 	2.90 	1.30 	1.60 	9.30 	-0.10 	0.10 	2.20 	5.50 	TBB	GKC	7
63.	Edmonds, Chase DEN RB	68.70	5.725	10.00 	5.60 	16.20 	9.50 	0.10 	4.10 	2.20 	1.90 	  	1.40 	0.60 	  	  	  	  	7.30 	9.80 	@MIN	Lesorub Magadan	9
