92.	Ellefson, Ben MIN TE	7.60	1.900	1.20 	0.00 	6.40 	0.00 	  	  	B 	  	  	  	  	  	  	  	BYE	FA	7
93.	Wesco, Trevon CHI TE	7.60	0.633	  	0.00 	0.00 	4.30 	0.00 	0.00 	0.00 	0.00 	2.00 	0.00 	0.00 	1.30 	0.00 	B 	@NOS	FA	14
94.	Hopkins, Brycen LAR TE	7.10	0.710	0.00 	0.00 	  	  	  	0.00 	B 	0.00 	0.00 	2.10 	0.00 	3.20 	0.00 	1.80 	@SEA	FA	7
95.	Kroft, Tyler SFO TE	6.90	0.986	1.90 	0.00 	  	  	  	  	  	1.60 	B 	0.00 	0.00 	  	3.40 	0.00 	@LAC	FA	9
96.	Smartt, Stone LAC TE	6.70	1.675	  	  	  	  	  	  	  	B 	  	  	2.60 	0.00 	2.30 	1.80 	MIA	FA	8
97.	Blanton, Kendall FA TE	6.50	1.625	  	  	4.80 	1.70 	0.00 	0.00 	B 	  	  	  	  	  	  	  	DET	FA	-
98.	Griffin, Ryan CHI TE	6.40	0.582	0.00 	3.80 	  	  	1.10 	0.00 	1.50 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	B 	BYE	FA	14
99.	Turner, Cole WAS TE	5.30	0.883	  	  	  	  	0.00 	5.30 	0.00 	  	  	  	0.00 	0.00 	0.00 	B 	ARI	FA	14
100.	Vannett, Nick NYG TE	5.20	1.040	  	  	1.50 	  	  	  	0.00 	1.80 	  	  	  	  	0.00 	1.90 	BYE	FA	9
101.	Rudolph, Kyle TBB TE	5.00	0.833	  	  	3.20 	  	0.00 	  	1.80 	0.00 	0.00 	  	B 	  	0.00 	  	BYE	FA (Q)	11
102.	Horsted, Jesper LVR TE	4.90	0.445	0.00 	0.00 	0.00 	0.00 	4.90 	B 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	  	  	@DEN	FA	6
103.	McKeon, Sean DAL TE	4.10	0.456	  	  	0.00 	  	  	3.00 	0.00 	0.00 	B 	1.10 	0.00 	0.00 	0.00 	0.00 	@NYG	FA	9
104.	Anderson, Stephen ARI TE	3.90	0.300	0.00 	1.20 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	B 	2.70 	BYE	FA	13
105.	Sweeney, Tommy BUF TE	2.70	0.540	0.00 	  	  	  	0.00 	2.70 	B 	  	  	  	  	  	0.00 	0.00 	DAL	FA	7
106.	Schreck, Mason HOU TE	2.60	1.300	  	  	  	1.00 	1.60 	B 	  	  	  	  	  	  	  	  	@BAL	FA	6
