64.	Allen, Keenan LAC WR	97.50	16.250	14.60 	  	  	  	  	  	2.60 	B 	  	  	16.40 	15.40 	25.30 	23.20 	MIA	PGs	8
65.	Moore, Rondale ARI WR	95.90	11.988	  	  	  	2.20 	15.60 	8.90 	4.10 	26.90 	17.90 	20.90 	-0.60 	  	B 	  	@WAS	illmatic27	13
66.	Jones, Marvin JAC WR	95.70	7.975	7.30 	5.80 	12.30 	0.00 	26.90 	  	13.70 	0.00 	8.80 	4.30 	B 	10.70 	2.70 	3.20 	@KCC	Lesorub Magadan	11
67.	Robinson, Allen LAR WR	94.90	9.490	1.70 	20.30 	3.80 	1.70 	2.70 	22.30 	B 	14.40 	5.40 	7.90 	14.70 	  	  	  	SFO	Gonsales Monsters (Q)	7
68.	Westbrook-Ikhine, Nick TEN WR	94.50	7.269	2.30 	1.80 	7.00 	0.00 	13.70 	B 	0.00 	0.00 	0.00 	38.90 	4.80 	13.80 	0.90 	11.30 	@NOS	GKC	6
69.	Goodwin, Marquise SEA WR	93.20	8.473	3.70 	0.00 	4.60 	0.00 	  	4.60 	27.20 	5.80 	  	11.30 	B 	8.50 	2.70 	24.80 	CIN	FA	11
70.	Robinson, Demarcus BAL WR	93.00	7.154	3.40 	8.20 	0.00 	2.00 	1.30 	4.70 	0.00 	16.40 	1.70 	B 	30.30 	2.70 	8.60 	13.70 	@SEA	FA	10
71.	Dortch, Greg ARI WR	92.30	7.692	16.30 	20.00 	19.50 	1.60 	0.00 	0.00 	7.60 	0.20 	0.80 	0.00 	26.30 	  	B 	0.00 	@WAS	GKC	13
72.	James, Richie NYG WR	91.70	7.054	15.10 	13.60 	7.00 	-0.10 	3.10 	2.80 	0.70 	-4.00 	B 	0.00 	13.80 	14.10 	4.00 	21.60 	DET	MH	9
73.	Burks, Treylon TEN WR	89.10	11.137	13.00 	8.20 	3.10 	3.30 	  	B 	  	  	  	4.40 	26.10 	21.50 	9.50 	  	@NOS	Snusmumrik's Minions	6
74.	Woods, Robert TEN WR	85.60	6.585	2.30 	6.90 	17.00 	13.00 	6.20 	B 	5.10 	2.60 	0.00 	3.00 	16.40 	3.60 	1.10 	8.40 	@BAL	Oparysh	6
75.	Sherfield, Trent MIA WR	83.70	6.438	1.30 	2.40 	1.00 	14.00 	1.00 	1.10 	6.90 	4.50 	4.70 	20.80 	B 	5.30 	19.50 	1.20 	@NYJ	PGs	11
76.	Skowronek, Ben LAR WR	82.50	6.346	5.50 	2.60 	14.60 	5.30 	7.60 	15.70 	B 	2.00 	0.00 	2.40 	0.90 	1.50 	4.50 	19.90 	@SEA	ansuperman (Q)	7
77.	Chark, D.J. DET WR	81.60	11.657	19.70 	0.00 	7.60 	  	  	B 	  	  	  	  	0.00 	9.60 	18.80 	25.90 	@ATL	БЕСЫ	6
78.	Gallup, Michael DAL WR	80.70	8.070	  	  	  	10.40 	7.40 	2.80 	0.00 	8.40 	B 	6.50 	6.10 	15.80 	17.30 	6.00 	@NYG	KWar	9
79.	Doubs, Romeo GBP WR	80.50	8.944	7.80 	3.70 	23.80 	12.70 	4.90 	4.10 	0.00 	20.70 	2.80 	  	  	  	  	B 	@CHI	Lesorub Magadan	14
80.	Dotson, Jahan WAS WR	80.10	10.012	17.50 	22.90 	2.00 	12.80 	  	  	  	  	  	2.40 	2.60 	0.00 	19.90 	B 	ARI	ansuperman	14
81.	Agholor, Nelson NEP WR	79.90	6.658	2.80 	31.50 	3.60 	7.10 	0.00 	  	0.00 	0.70 	0.00 	B 	2.80 	21.50 	3.20 	6.70 	HOU	Oparysh	10
82.	Osborn, K.J. MIN WR	79.60	6.123	2.90 	4.50 	22.30 	1.50 	7.10 	3.30 	B 	8.30 	0.00 	6.70 	3.70 	2.30 	3.70 	13.30 	TBB	ansuperman	7
83.	Moore, Elijah NYJ WR	79.30	6.608	8.90 	6.00 	8.40 	13.00 	2.10 	0.00 	  	0.00 	0.00 	B 	3.20 	19.00 	3.20 	15.50 	CIN	KWar	10
84.	Cobb, Randall GBP WR	76.90	8.544	3.40 	6.20 	12.70 	6.70 	20.40 	1.30 	  	  	  	  	16.80 	9.40 	0.00 	B 	BUF	ansuperman (Q)	14
85.	Raymond, Kalif DET WR	76.50	5.885	0.00 	0.00 	0.90 	4.10 	8.50 	B 	19.00 	15.10 	3.70 	7.20 	7.00 	6.00 	1.60 	3.40 	@KCC	GKC	6
86.	Watkins, Quez PHI WR	75.70	5.823	0.00 	19.40 	0.00 	0.00 	3.40 	0.20 	B 	0.00 	4.00 	14.00 	11.10 	11.50 	7.70 	4.40 	@NEP	NDAK	7
87.	Marshall, Terrace CAR WR	73.60	7.360	  	0.00 	  	  	6.00 	0.00 	5.10 	17.70 	19.30 	5.30 	15.60 	1.80 	B 	2.80 	@ATL	NDAK	13
88.	Jones, Julio TBB WR	72.60	9.075	17.10 	  	  	1.70 	  	  	  	9.60 	4.80 	19.30 	B 	8.00 	4.80 	7.30 	BYE	БЕСЫ	11
89.	Bateman, Rashod BAL WR	69.50	11.583	18.40 	30.30 	10.40 	3.70 	  	  	6.70 	0.00 	  	B 	  	  	  	  	HOU	PGs (Q)	10
90.	Shaheed, Rashid NOS WR	67.90	8.488	  	  	  	  	  	10.90 	17.30 	6.30 	0.00 	2.20 	1.30 	13.40 	16.50 	B 	TEN	Gonsales Monsters (Q)	14
91.	Gage, Russell TBB WR	66.40	7.378	2.30 	5.80 	26.20 	3.90 	5.50 	3.50 	7.90 	  	  	  	B 	  	2.10 	9.20 	@MIN	БЕСЫ (Q)	11
92.	Jennings, Jauan SFO WR	64.80	5.400	14.20 	0.90 	1.50 	4.20 	6.50 	2.80 	4.40 	  	B 	7.50 	0.00 	16.40 	5.40 	1.00 	@PIT	NDAK	9
93.	Smith, Tre'Quan NOS WR	64.20	5.836	  	  	24.50 	2.80 	2.00 	13.30 	14.90 	0.00 	5.40 	0.00 	0.00 	1.30 	0.00 	B 	TEN	Lesorub Magadan	14
94.	Landry, Jarvis NOS WR	63.70	7.963	26.90 	4.50 	3.70 	3.70 	  	  	  	  	  	6.20 	12.30 	3.50 	2.90 	B 	BYE	NDAK (Q)	14
95.	Hinton, Kendall DEN WR	61.90	5.627	  	3.00 	3.70 	5.40 	  	1.30 	2.40 	0.00 	B 	14.20 	13.70 	8.30 	2.10 	7.80 	LVR	FA (Q)	9
96.	Robinson, Wan'Dale NYG WR	61.60	10.267	1.50 	  	  	  	  	12.70 	14.00 	2.50 	B 	3.50 	27.40 	  	  	  	DAL	БЕСЫ (Q)	9
97.	Byrd, Damiere ATL WR	60.10	6.010	  	  	  	0.00 	0.00 	0.00 	19.50 	20.20 	0.00 	13.80 	4.90 	0.00 	1.70 	B 	@ATL	FA	14
98.	Anderson, Robbie ARI WR	59.90	4.608	29.20 	3.20 	2.40 	4.60 	4.20 	0.00 	0.00 	0.00 	0.10 	0.00 	0.00 	2.70 	B 	13.50 	@LAC	FA	13
99.	St. Brown, Equanimeous CHI WR	59.90	4.608	8.80 	5.40 	7.80 	0.90 	3.90 	0.10 	8.80 	1.10 	0.00 	1.40 	4.40 	1.20 	16.10 	B 	GBP	Snusmumrik's Minions	14
100.	Thomas, Michael NOS WR	59.60	19.867	27.20 	23.50 	8.90 	  	  	  	  	  	  	  	  	  	  	B 	TEN	illmatic27 (Q)	14
101.	Agnew, Jamal JAC WR	59.00	5.364	1.70 	0.10 	2.70 	26.00 	0.30 	3.40 	  	  	0.00 	1.90 	B 	13.20 	2.80 	6.90 	@IND	KWar	11
102.	Atwell, Tutu LAR WR	57.40	6.378	0.00 	0.00 	0.00 	  	11.40 	0.90 	B 	  	  	  	18.20 	4.30 	9.60 	13.00 	@SEA	БЕСЫ	7
103.	Shenault, Laviska CAR WR	57.00	6.333	  	  	22.00 	0.00 	  	  	1.30 	5.60 	0.60 	13.90 	2.70 	4.10 	B 	6.80 	@ATL	illmatic27	13
104.	Pettis, Dante CHI WR	56.90	4.377	17.10 	0.00 	0.00 	0.00 	0.00 	22.90 	4.10 	3.80 	2.20 	2.70 	0.00 	2.20 	1.90 	B 	GBP	FA	14
105.	Watson, Justin KCC WR	55.60	4.277	0.00 	17.50 	0.00 	0.00 	2.00 	0.00 	7.40 	B 	5.20 	2.20 	14.20 	4.60 	2.50 	0.00 	DET	Gonsales Monsters	8
106.	Bourne, Kendrick NEP WR	52.10	4.342	5.10 	3.60 	14.30 	6.30 	0.50 	2.70 	  	0.00 	2.70 	B 	1.30 	4.90 	2.50 	8.20 	PHI	Snusmumrik's Minions	10
107.	Hodgins, Isaiah NYG WR	51.90	7.414	  	  	  	  	7.10 	0.00 	B 	  	  	6.10 	3.40 	5.10 	14.90 	15.30 	DAL	MH	9
108.	Berrios, Braxton NYJ WR	51.38	3.952	7.20 	2.70 	-0.20 	7.18 	8.40 	9.60 	6.70 	0.00 	1.60 	B 	0.00 	2.30 	2.40 	3.50 	@LAC	KWar	10
109.	Jefferson, Van LAR WR	48.00	6.857	  	  	  	  	  	  	B 	0.00 	0.00 	11.70 	6.60 	11.40 	5.90 	12.40 	@SEA	Snusmumrik's Minions	7
110.	Irwin, Trenton CIN WR	44.00	7.333	  	  	  	  	  	  	  	4.20 	4.00 	B 	12.70 	2.60 	1.70 	18.80 	@CLE	Gonsales Monsters	10
111.	Renfrow, Hunter LVR WR	42.70	7.117	4.60 	13.90 	  	  	5.00 	B 	13.50 	1.10 	4.60 	  	  	  	  	  	@DEN	Oparysh	6
112.	Hodge, KhaDarel ATL WR	42.20	3.246	5.80 	12.70 	0.00 	0.00 	7.30 	0.00 	0.00 	0.00 	2.40 	11.70 	2.30 	0.00 	0.00 	B 	CAR	FA	14
113.	Dorsett, Phillip HOU WR	41.80	3.483	0.00 	  	2.50 	0.00 	0.00 	B 	12.50 	1.10 	14.40 	3.70 	0.00 	1.00 	3.30 	3.30 	@DEN	FA	6
114.	Brown, Dyami WAS WR	41.30	3.755	0.00 	0.00 	0.00 	1.60 	34.50 	0.00 	  	  	0.00 	2.50 	0.00 	2.70 	0.00 	B 	ARI	NDAK	14
115.	Thornton, Tyquan NEP WR	41.10	4.567	  	  	  	  	1.70 	21.30 	2.90 	2.30 	1.00 	B 	1.00 	0.00 	5.10 	5.80 	PHI	PGs	10
116.	Dulin, Ashton IND WR	41.00	4.556	7.10 	17.20 	1.70 	3.80 	2.80 	  	  	  	  	0.00 	0.00 	0.00 	8.40 	B 	JAC	ansuperman	14
117.	McCloud, Ray-Ray SFO WR	40.70	3.131	3.00 	2.60 	2.10 	1.10 	0.00 	0.00 	21.50 	1.60 	B 	4.30 	0.00 	1.70 	0.00 	2.80 	@PIT	FA	9
118.	Callaway, Marquez NOS WR	40.30	3.664	0.00 	0.00 	7.40 	13.30 	2.00 	6.60 	3.50 	2.00 	4.40 	  	1.10 	  	0.00 	B 	LVR	БЕСЫ	14
119.	Smith, Shi CAR WR	40.00	3.077	2.20 	0.70 	3.70 	0.00 	14.90 	0.00 	0.00 	0.00 	3.00 	2.70 	3.60 	0.00 	B 	9.20 	@ATL	FA	13
120.	Green, A.J. ARI WR	39.80	3.618	2.80 	5.60 	0.00 	  	4.50 	1.70 	  	0.00 	0.00 	9.00 	14.00 	1.00 	B 	1.20 	BYE	FA	13
121.	Miller, Scott TBB WR	38.50	3.500	  	6.70 	0.90 	  	6.00 	0.00 	1.60 	2.30 	14.80 	4.50 	B 	0.00 	1.70 	0.00 	CAR	Lesorub Magadan	11
122.	Pascal, Zach PHI WR	36.90	2.838	1.70 	2.90 	4.30 	0.00 	0.00 	0.00 	B 	18.70 	1.30 	2.00 	1.40 	0.00 	3.10 	1.50 	@WAS	FA	7
123.	Watkins, Sammy BAL WR	36.60	4.067	4.30 	17.30 	  	  	  	  	5.10 	1.30 	1.40 	7.20 	0.00 	0.00 	0.00 	B 	BYE	FA	10
124.	Moore, Skyy KCC WR	36.40	2.800	4.00 	0.00 	-2.00 	5.10 	2.50 	3.40 	-2.00 	B 	0.00 	1.10 	15.80 	5.60 	1.70 	1.20 	DET	illmatic27	8
125.	Shepard, Sterling NYG WR	34.90	11.633	19.60 	6.90 	8.40 	  	  	  	  	  	B 	  	  	  	  	  	DAL	Oparysh (Q)	9
126.	Cracraft, River MIA WR	34.70	3.856	0.00 	7.20 	8.10 	0.00 	0.00 	0.00 	0.00 	  	  	  	B 	14.50 	4.90 	  	@LAC	FA	11
127.	Hamler, KJ DEN WR	34.30	4.900	0.00 	  	0.00 	11.50 	1.50 	5.90 	2.80 	12.60 	B 	  	  	  	  	  	LVR	KWar (Q)	9
128.	Bell, David CLE WR	34.10	2.623	0.00 	1.10 	1.10 	5.00 	1.10 	1.80 	1.20 	4.70 	B 	4.40 	4.70 	4.30 	0.00 	4.70 	CIN	illmatic27	9
129.	Powell, Brandon LAR WR	32.80	2.523	2.30 	-1.50 	4.70 	1.60 	0.10 	6.50 	B 	0.00 	0.90 	0.70 	2.50 	2.10 	12.90 	0.00 	TBB	FA	7
