53.	Cooks, Brandin HOU WR	140.00	11.667	18.70 	13.40 	3.70 	22.20 	4.00 	B 	7.60 	15.30 	  	6.70 	15.00 	14.60 	  	  	  	12.40 	6.40 	@NYG	NDAK	6
54.	Brown, Noah DAL WR	133.50	8.900	16.30 	25.10 	14.40 	13.60 	1.00 	2.00 	11.00 	  	B 	0.80 	5.70 	0.00 	3.00 	16.50 	21.90 	1.00 	1.20 	@BAL	БЕСЫ	9
55.	Duvernay, Devin BAL WR	125.60	8.971	25.40 	12.20 	10.30 	13.10 	17.30 	2.40 	6.20 	16.90 	1.00 	B 	1.70 	6.40 	8.30 	0.00 	4.40 	  	  	HOU	Gonsales Monsters	10
56.	Jones, Marvin JAC WR	124.50	8.300	7.30 	5.80 	12.30 	0.00 	26.90 	  	13.70 	0.00 	8.80 	4.30 	B 	10.70 	2.70 	3.20 	9.20 	3.50 	16.10 	@KCC	Lesorub Magadan	11
57.	Carter, DeAndre LAC WR	124.00	7.750	20.40 	13.50 	5.10 	1.10 	2.40 	3.70 	5.70 	B 	15.30 	20.90 	5.30 	23.80 	2.40 	0.50 	1.50 	0.00 	2.40 	@DEN	FA	8
58.	Pierce, Alec IND WR	123.60	8.240	0.00 	  	14.10 	16.50 	19.60 	13.40 	6.20 	14.00 	3.30 	0.00 	4.80 	0.00 	23.60 	B 	0.00 	5.10 	3.00 	JAC	Oparysh	14
59.	Mooney, Darnell CHI WR	121.50	10.125	1.30 	0.10 	3.80 	17.90 	12.20 	16.80 	13.30 	15.50 	15.00 	14.20 	11.40 	0.00 	  	B 	  	  	  	GBP	FC (Q)	14
60.	Chark, D.J. DET WR	121.30	12.130	19.70 	0.00 	7.60 	  	  	B 	  	  	  	  	0.00 	9.60 	18.80 	25.90 	2.80 	24.30 	12.60 	@ATL	БЕСЫ	6
61.	Dortch, Greg ARI WR	120.60	8.040	16.30 	20.00 	19.50 	1.60 	0.00 	0.00 	7.60 	0.20 	0.80 	0.00 	26.30 	  	B 	0.00 	0.00 	24.80 	3.50 	@WAS	GKC	13
62.	McKenzie, Isaiah BUF WR	120.40	8.600	9.90 	5.20 	25.20 	11.10 	  	1.90 	B 	8.50 	3.60 	9.50 	0.00 	26.30 	8.90 	5.30 	4.40 	0.60 	  	JAC	illmatic27	7
63.	Moore, Chris HOU WR	119.10	7.940	5.60 	2.40 	13.30 	0.00 	  	B 	9.50 	0.00 	13.50 	15.00 	5.30 	1.70 	7.10 	29.90 	7.20 	4.00 	4.60 	@NOS	FC	6
64.	Gage, Russell TBB WR	118.60	9.883	2.30 	5.80 	26.20 	3.90 	5.50 	3.50 	7.90 	  	  	  	B 	  	2.10 	9.20 	29.90 	16.00 	6.30 	@MIN	БЕСЫ (Q)	11
65.	Davis, Corey NYJ WR	117.90	9.825	18.20 	21.30 	4.20 	23.40 	5.80 	12.20 	0.00 	  	  	B 	  	1.90 	18.50 	2.50 	  	2.40 	7.50 	BUF	GKC	10
66.	Raymond, Kalif DET WR	117.10	7.319	0.00 	0.00 	0.90 	4.10 	8.50 	B 	19.00 	15.10 	3.70 	7.20 	7.00 	6.00 	1.60 	3.40 	20.30 	12.90 	7.40 	@KCC	GKC	6
67.	Shaheed, Rashid NOS WR	114.90	10.445	  	  	  	  	  	10.90 	17.30 	6.30 	0.00 	2.20 	1.30 	13.40 	16.50 	B 	23.00 	7.10 	16.90 	TEN	Gonsales Monsters (Q)	14
68.	Reynolds, Josh DET WR	114.80	8.831	3.80 	12.80 	19.60 	25.10 	18.70 	B 	1.30 	2.90 	  	  	  	0.00 	4.40 	20.60 	0.00 	4.60 	1.00 	@KCC	FC	6
69.	Burks, Treylon TEN WR	108.70	10.870	13.00 	8.20 	3.10 	3.30 	  	B 	  	  	  	4.40 	26.10 	21.50 	9.50 	  	  	2.00 	17.60 	@NOS	Snusmumrik's Minions	6
70.	Woods, Robert TEN WR	107.70	6.731	2.30 	6.90 	17.00 	13.00 	6.20 	B 	5.10 	2.60 	0.00 	3.00 	16.40 	3.60 	1.10 	8.40 	2.70 	5.00 	14.40 	@BAL	Oparysh	6
71.	Claypool, Chase CHI WR	107.64	7.689	8.90 	5.10 	7.60 	0.00 	14.00 	27.90 	7.60 	13.54 	3.20 	1.30 	2.60 	12.10 	3.80 	B 	  	  	0.00 	GBP	GOD (Q)	14
72.	Robinson, Demarcus BAL WR	106.90	6.681	3.40 	8.20 	0.00 	2.00 	1.30 	4.70 	0.00 	16.40 	1.70 	B 	30.30 	2.70 	8.60 	13.70 	4.40 	7.60 	1.90 	@SEA	FA	10
73.	Doubs, Romeo GBP WR	106.10	8.842	7.80 	3.70 	23.80 	12.70 	4.90 	4.10 	0.00 	20.70 	2.80 	  	  	  	  	B 	15.00 	6.10 	4.50 	@CHI	Lesorub Magadan	14
74.	Zaccheaus, Olamide ATL WR	105.30	6.581	5.40 	10.10 	6.90 	12.50 	11.90 	14.30 	6.10 	1.40 	3.40 	5.40 	3.20 	17.60 	2.80 	B 	0.00 	4.30 	0.00 	@NEP	NDAK	14
75.	Parker, DeVante NEP WR	104.50	8.708	1.90 	0.00 	35.60 	9.90 	0.00 	14.90 	14.80 	0.00 	  	B 	2.90 	17.00 	3.10 	4.40 	  	  	  	PHI	Lesorub Magadan	10
76.	Collins, Nico HOU WR	104.10	10.410	4.10 	14.30 	6.10 	15.70 	15.00 	B 	5.30 	  	  	14.90 	7.80 	8.40 	12.50 	  	  	  	  	@BAL	FC	6
77.	Marshall, Terrace CAR WR	102.20	7.862	  	0.00 	  	  	6.00 	0.00 	5.10 	17.70 	19.30 	5.30 	15.60 	1.80 	B 	2.80 	12.60 	12.50 	3.50 	@ATL	NDAK	13
